Identifier,StructureData,,,,,
Entry ID,Collection Temperature,Detector,Collection Date,Diffraction Source General Class,Diffraction Source Make, Model or Name,
"2PWT","100","CCD","2005-06-10","SYNCHROTRON","SLS BEAMLINE X10SA"
"2QBZ",100,"CCD","2006-04-17","SYNCHROTRON","APS BEAMLINE 19-ID"
,100,"IMAGE PLATE","2006-06-17","ROTATING ANODE","RIGAKU FR-E+ SUPERBRIGHT"

"2V3C","100","CCD","2004-04-07","SYNCHROTRON","ESRF BEAMLINE ID23-1"
"2Z74","100","CCD","2007-04-24","SYNCHROTRON","ALS BEAMLINE 5.0.2"
"2Z75","100","CCD","2007-01-27","SYNCHROTRON","ALS BEAMLINE 8.2.2"
"2Q66","100","CCD","2006-11-07","SYNCHROTRON","NSLS BEAMLINE X29A"
"2JPP"
"2NPY","100","CCD","2005-07-31","SYNCHROTRON","CHESS BEAMLINE A1"
"2NPZ","100","IMAGE PLATE","2005-05-25","ROTATING ANODE","RIGAKU RU200"
"2JSG"
"2PXB",113,"IMAGE PLATE","2006-02-18","ROTATING ANODE","RIGAKU"

"2PXD","113","IMAGE PLATE","2006-02-04","ROTATING ANODE","RIGAKU"
"2PXE","113","IMAGE PLATE","2005-07-21","ROTATING ANODE","RIGAKU"
"2PXF",113,"IMAGE PLATE","2006-01-01","ROTATING ANODE","RIGAKU"

"2PXK","113","IMAGE PLATE","2006-02-18","ROTATING ANODE","RIGAKU"
"2PXL",113,"IMAGE PLATE","2005-05-24","ROTATING ANODE","RIGAKU"

"2PXP",113,"IMAGE PLATE","2006-06-03","ROTATING ANODE","RIGAKU"

"2PXQ",113,"IMAGE PLATE","2006-05-26","ROTATING ANODE","RIGAKU"

"2PXT",,"IMAGE PLATE","2006-07-11","ROTATING ANODE","RIGAKU"

"2PXU",113,"IMAGE PLATE","2006-07-10","ROTATING ANODE","RIGAKU"

"2PXV",113,"IMAGE PLATE","2006-04-03","ROTATING ANODE","RIGAKU"

"2UXB","100","CCD","2006-02-17","SYNCHROTRON","SLS BEAMLINE X10SA"
"2JR4"
"2JRG"
"2JRQ"
"2PPB","100","CCD","2006-08-25","SYNCHROTRON","APS BEAMLINE 22-ID"
"2O81"
"2O83"
"2IZM","280","CCD","2001-03-24","SYNCHROTRON","MAX II BEAMLINE I711"
"2JQ7"
"2O5I","100","CCD","2006-05-20","SYNCHROTRON","APS BEAMLINE 22-ID"
"2O5J","100","CCD","2006-08-25","SYNCHROTRON","APS BEAMLINE 22-ID"
"2V0G","100","CCD","2006-03-20","SYNCHROTRON","ESRF BEAMLINE ID14-4"
"2E9R","293","CCD","2004-04-23","SYNCHROTRON","ESRF BEAMLINE ID29"
"2E9T","293","CCD","2006-05-20","SYNCHROTRON","ESRF BEAMLINE ID14-2"
"2E9Z","77","CCD","2004-11-14","SYNCHROTRON","ESRF BEAMLINE ID14-2"
