PDB_ID,Experimental_Method,Resolution_(Å)
2AHT,SOLUTION NMR,
2AP0,SOLUTION NMR,
2AP5,SOLUTION NMR,
2AU4,SOLUTION NMR,
2AWQ,SOLUTION NMR,
2B6G,SOLUTION NMR,
2B7G,SOLUTION NMR,
2BJ2,SOLUTION NMR,
2C06,SOLUTION NMR,
2CD1,SOLUTION NMR,
2CD3,SOLUTION NMR,
2CD5,SOLUTION NMR,
2CD6,SOLUTION NMR,
2CJK,SOLUTION NMR,
2D17,SOLUTION NMR,
2D18,SOLUTION NMR,
2D19,SOLUTION NMR,
2D1A,SOLUTION NMR,
2D1B,SOLUTION NMR,
2DD1,SOLUTION NMR,
2DD2,SOLUTION NMR,
2DD3,SOLUTION NMR,
2ERR,SOLUTION NMR,
2ES5,SOLUTION NMR,
2ESE,SOLUTION NMR,
2EUY,SOLUTION NMR,
2EVY,SOLUTION NMR,
2F4X,SOLUTION NMR,
2F87,SOLUTION NMR,
2F88,SOLUTION NMR,
2FDT,SOLUTION NMR,
2FEY,SOLUTION NMR,
2FY1,SOLUTION NMR,
2G1G,SOLUTION NMR,
2G1W,SOLUTION NMR,
2GBH,SOLUTION NMR,
2GIO,SOLUTION NMR,
2GIP,SOLUTION NMR,
2GM0,SOLUTION NMR,
2GRW,SOLUTION NMR,
2GV3,SOLUTION NMR,
2GV4,SOLUTION NMR,
2GVO,SOLUTION NMR,
2H49,SOLUTION NMR,
2HEM,SOLUTION NMR,
2HGH,SOLUTION NMR,
2HNS,SOLUTION NMR,
2HUA,SOLUTION NMR,
2I2Y,SOLUTION NMR,
2I7E,SOLUTION NMR,
2I7Z,SOLUTION NMR,
2IHX,SOLUTION NMR,
2IRN,SOLUTION NMR,
2IRO,SOLUTION NMR,
2IXY,SOLUTION NMR,
2IXZ,SOLUTION NMR,
2JPP,SOLUTION NMR,
2JQ7,SOLUTION NMR,
2JR4,SOLUTION NMR,
2JRG,SOLUTION NMR,
2JRQ,SOLUTION NMR,
2JSE,SOLUTION NMR,
2JSG,SOLUTION NMR,
2JTP,SOLUTION NMR,
2JUK,SOLUTION NMR,
2JWV,SOLUTION NMR,
2JXQ,SOLUTION NMR,
2JXS,SOLUTION NMR,
2JXV,SOLUTION NMR,
2JYF,SOLUTION NMR,
2JYH,SOLUTION NMR,
2JYJ,SOLUTION NMR,
2JYM,SOLUTION NMR,
2K3Z,SOLUTION NMR,
2K41,SOLUTION NMR,
2K5Z,SOLUTION NMR,
2K65,SOLUTION NMR,
2K66,SOLUTION NMR,
2K7E,SOLUTION NMR,
2K95,SOLUTION NMR,
2K96,SOLUTION NMR,
2KBP,SOLUTION NMR,
2KD4,SOLUTION NMR,
2KD8,SOLUTION NMR,
2KDQ,SOLUTION NMR,
2KE6,SOLUTION NMR,
2KEZ,SOLUTION NMR,
2KF0,SOLUTION NMR,
2KFY,SOLUTION NMR,
2KG0,SOLUTION NMR,
2KG1,SOLUTION NMR,
2KGP,SOLUTION NMR,
2KH9,SOLUTION NMR,
2KHY,SOLUTION NMR,
2KM8,SOLUTION NMR,
2KMJ,SOLUTION NMR,
2KOC,SOLUTION NMR,
2KP3,SOLUTION NMR,
2KP4,SOLUTION NMR,
2KPC,SOLUTION NMR,
2KPD,SOLUTION NMR,
2KPV,SOLUTION NMR,
2KRP,SOLUTION NMR,
2KRQ,SOLUTION NMR,
2KRV,SOLUTION NMR,
2KRW,SOLUTION NMR,
2KRY,SOLUTION NMR,
2KRZ,SOLUTION NMR,
2KTZ,SOLUTION NMR,
2KU0,SOLUTION NMR,
2KUR,SOLUTION NMR,
2KUU,SOLUTION NMR,
2KUV,SOLUTION NMR,
2KUW,SOLUTION NMR,
2KVN,SOLUTION NMR,
2KWG,SOLUTION NMR,
2KX5,SOLUTION NMR,
2KX8,SOLUTION NMR,
2KXM,SOLUTION NMR,
2KXN,SOLUTION NMR,
2KXZ,SOLUTION NMR,
2KY0,SOLUTION NMR,
2KY1,SOLUTION NMR,
2KY2,SOLUTION NMR,
2KYD,SOLUTION NMR,
2KYE,SOLUTION NMR,
2KZL,SOLUTION NMR,
2L1F,SOLUTION NMR,
2L1V,SOLUTION NMR,
2L2J,SOLUTION NMR,
2L2K,SOLUTION NMR,
2L3C,SOLUTION NMR,
2L3E,SOLUTION NMR,
2L3J,SOLUTION NMR,
2L41,SOLUTION NMR,
2L5D,SOLUTION NMR,
2L5Z,SOLUTION NMR,
2L6I,SOLUTION NMR,
2L8C,SOLUTION NMR,
2L8F,SOLUTION NMR,
2L8H,SOLUTION NMR,
2L8U,SOLUTION NMR,
2L8W,SOLUTION NMR,
2L94,SOLUTION NMR,
2L9E,SOLUTION NMR,
2LA5,SOLUTION NMR,
2LA9,SOLUTION NMR,
2LAC,SOLUTION NMR,
2LAR,SOLUTION NMR,
2LB4,SOLUTION NMR,
2LBJ,SOLUTION NMR,
2LBK,SOLUTION NMR,
2LBL,SOLUTION NMR,
2LBQ,SOLUTION NMR,
2LBR,SOLUTION NMR,
2LBS,SOLUTION NMR,
2LC8,SOLUTION NMR,
2LDL,SOLUTION NMR,
2LDT,SOLUTION NMR,
2LDZ,SOLUTION NMR,
2LEB,SOLUTION NMR,
2LEC,SOLUTION NMR,
2LHP,SOLUTION NMR,
2LI4,SOLUTION NMR,
2LI8,SOLUTION NMR,
2LJJ,SOLUTION NMR,
2LK3,SOLUTION NMR,
2LKR,SOLUTION NMR,
2LP9,SOLUTION NMR,
2LPA,SOLUTION NMR,
2LPS,SOLUTION NMR,
2LPT,SOLUTION NMR,
2LQZ,SOLUTION NMR,
2LU0,SOLUTION NMR,
2LUB,SOLUTION NMR,
2LUN,SOLUTION NMR,
2LUP,SOLUTION NMR,
2LV0,SOLUTION NMR,
2LVY,SOLUTION NMR,
2LWK,SOLUTION NMR,
2LX1,SOLUTION NMR,
2M12,SOLUTION NMR,
2M18,SOLUTION NMR,
2M1O,SOLUTION NMR,
2M1V,SOLUTION NMR,
2M21,SOLUTION NMR,
2M22,SOLUTION NMR,
2M23,SOLUTION NMR,
2M24,SOLUTION NMR,
2M39,SOLUTION NMR,
2M4Q,SOLUTION NMR,
2M4W,SOLUTION NMR,
2M57,SOLUTION NMR,
2M58,SOLUTION NMR,
2M5U,SOLUTION NMR,
2M8D,SOLUTION NMR,
2M8K,SOLUTION NMR,
2MB0,SOLUTION NMR,
2MEQ,SOLUTION NMR,
2MER,SOLUTION NMR,
2MF0,SOLUTION NMR,
2MF1,SOLUTION NMR,
2MFC,SOLUTION NMR,
2MFD,SOLUTION NMR,
2MFE,SOLUTION NMR,
2MFF,SOLUTION NMR,
2MFG,SOLUTION NMR,
